$ . project name ; const = integer-value var : int , subroutine begin end := ( ) + - * / % scan print if then endif else while do |= < =< > =>
dd dd 00 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd 01 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd 02 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd 03 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd 04 dd dd 04 dd dd dd 04 04 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd 05 dd dd 06 dd dd dd 06 06 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd 07 dd dd dd dd 08 dd dd dd 08 08 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd 09 dd dd dd 10 10 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd 11 dd dd dd dd dd dd dd dd 12 12 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd 
dd dd dd 13 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd 14 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd dd 16 dd 15 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd dd dd dd dd 17 18 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd dd dd dd dd 19 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd dd dd dd dd dd 20 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd 21 21 dd dd dd dd dd dd dd dd 21 22 dd dd dd dd dd dd dd dd 21 21 21 dd dd dd 21 dd dd dd dd dd dd
dd dd dd 23 28 dd dd dd dd dd dd dd dd 27 dd dd dd dd dd dd dd dd dd 24 24 25 dd 28 28 26 dd dd dd dd dd dd
dd dd dd 29 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd 30 dd dd dd 30 dd dd dd dd dd dd dd dd 30 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd 32 dd dd dd dd dd dd dd dd dd dd dd dd 32 31 31 dd dd dd dd dd dd dd 32 32 dd dd dd dd dd dd dd
dd dd dd 33 dd dd dd 33 dd dd dd dd dd dd dd dd 33 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd 
dd dd dd dd 35 dd dd dd dd dd dd dd dd dd dd dd dd 35 35 35 34 34 34 dd dd dd dd 35 35 dd dd dd dd dd dd dd
dd dd dd 37 dd dd dd 37 dd dd dd dd dd dd dd dd 36 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd 38 dd dd dd 39 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd 40 41 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd 42 43 44 dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd 45 46 dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd 47 dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd 49 48 dd dd dd dd dd dd dd
dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd 50 dd dd dd dd dd dd
dd dd dd 51 dd dd dd 51 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd
dd dd dd dd dd dd 52 dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd dd 53 54 55 56 57
